CompanyName,TypeOfLaptop,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
MSI,2 in 1 Convertible,13.346780820965911,HD 1920x1080 ,Intel Pentium Quad Core N4200,4GB,2TB SATA SSD,NVIDIA GeForce GTX 1650,macOS,2.4635376102360502,48058.627741102726
lenevo,Business Laptop,16.978724330023958,IPS Panel Retina Display 2560x1600,AMD Ryzen 7,12GB,4TB HDD,Intel Iris Xe Graphics,No OS,4.579305520703319,41934.19124360218
Chuwi,NoteBook,11.178710250730001,IPS Panel Retina Display 2560x1600,AMD A9-Series 9420,16GB,2TB SATA SSD,AMD Radeon RX 5600M,No OS,4.872030197936256,37276.75119289664
MSI,NoteBook,16.41397579470262,4K,Intel Xeon E3-1505M ,4GB,2TB HDD,Intel Iris Xe Graphics,Windows 11,2.815007839904473,66875.4613353677
lenevo,2 in 1 Convertible,15.607361692953585,IPS Panel Retina Display 2560x1600,AMD Ryzen 5,4GB,2TB SATA SSD,AMD Radeon RX 5600M,Linux,4.004956288653807,43628.90926600445
Microsoft,UltraBook,13.768679222729624,Full HD,Intel Pentium Quad Core N4200,4GB,6TB HDD,Intel Iris Xe Graphics,Windows 11,2.1427885635996105,51097.87222745974
hp,NoteBook,12.886684807344881,IPS Panel Retina Display 2560x1600,AMD Ryzen 5,8GB,512GB SSD,NVIDIA GeForce GTX 1650,macOS,4.1253775947238545,42583.17054047707
hp,Business Laptop,17.833675066234033,Full HD,Intel Celeron Dual Core 3855U ,8GB,2TB HDD,NVIDIA GeForce GTX 1650,macOS,2.9664648967245606,54726.46094987639
Chuwi,Business Laptop,11.792507874468857,IPS Panel Full HD / Touchscreen 1920x1080,AMD Ryzen 7,8GB,4TB HDD,NVIDIA GeForce GTX 1650,Windows 10,2.8080857043413596,53006.7247752682
lenevo,WorkStation,16.1238077941971,4K,Intel Atom x5-Z8550,8GB,1TB HDD,Intel Iris Xe Graphics,Linux,2.376048677991771,40764.86201364135
Apple,Business Laptop,11.149050706128182,HD 1920x1080 ,Intel Atom x5-Z8550,8GB,2TB NVMe SSD,AMD Radeon RX 5600M,Linux,4.489390090346845,68438.88933802725
Microsoft,WorkStation,12.307389579935318,HD 1920x1080 ,Intel Xeon E3-1505M ,12GB,256GB PCIe SSD,Intel Iris Xe Graphics,Windows 10,3.7962623618468667,43128.47361554041
MSI,Gaming,16.965825474206156,HD 1920x1080 ,Intel Core i9,12GB,256GB Flash Storage,AMD Radeon RX 5600M,No OS,4.282567941555159,34043.542996998905
Apple,2 in 1 Convertible,16.400250757464494,Full HD,Intel Core i9,16GB,4TB HDD,Intel Iris Xe Graphics,macOS,2.9726076763477494,100300.71289602041
