CompanyName,TypeOfLaptop,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price
MSI,Business Laptop,17.040679937057998,IPS Panel Retina Display 2560x1600,Intel Core i7,12GB,512GB SSD,Intel Iris Xe Graphics,Linux,2.064834177144257,35844.099371329015
Chuwi,2 in 1 Convertible,16.54239484007617,Full HD,Intel Core i5,12GB,128GB PCIe SSD,Intel Iris Xe Graphics,No OS,4.060656041785714,37019.05905114813
hp,WorkStation,17.29529433918756,Full HD,Intel Xeon E3-1505M ,8GB,1TB HDD,Intel Iris Xe Graphics,Linux,2.901689190223614,33329.360341435844
MSI,2 in 1 Convertible,11.526203243631654,2K,Intel Core i7,16GB,512GB NVMe SSD,Intel Iris Xe Graphics,Windows 10,2.914843354523103,68631.10248559805
Microsoft,Gaming,12.649634256590849,Full HD,Intel Core i5,8GB,512GB SSD,AMD Radeon RX 5600M,Windows 10,4.3419949931917525,33842.47956618873
Apple,WorkStation,15.543248856772662,HD 1920x1080 ,Intel Atom x5-Z8550,16GB,1TB NVMe SSD,NVIDIA GeForce GTX 1650,macOS,3.5803680861793272,83937.4842492039
lenevo,NoteBook,15.559450833602277,2K,Intel Xeon E3-1505M ,8GB,512GB SSD,Intel Iris Xe Graphics,Windows 11,4.05089359916377,62896.01738543374
Asus,UltraBook,17.806917376926048,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core 3855U ,12GB,256GB PCIe SSD,NVIDIA GeForce GTX 1650,macOS,4.402626917237215,35919.07283130237
Microsoft,Business Laptop,12.846038951306687,IPS Panel Retina Display 2560x1600,Intel Core i9,12GB,128GB SSD,NVIDIA GeForce GTX 1650,Linux,3.7005570745499377,45011.85190822951
Microsoft,UltraBook,15.204179606379835,Full HD,AMD A9-Series 9420,8GB,128GB PCIe SSD,NVIDIA GeForce GTX 1650,No OS,3.656769092069611,52669.310830345654
Microsoft,Gaming,13.91413107782111,2K,AMD Ryzen 5,8GB,512GB NVMe SSD,Intel Iris Xe Graphics,Windows 11,2.214419713237261,44787.67209549324
MSI,2 in 1 Convertible,11.60909891786426,HD 1920x1080 ,Intel Core i7,4GB,256GB PCIe SSD,AMD Radeon RX 5600M,Linux,3.2260472204521284,57579.42957198699
Acer,NoteBook,15.481304786381182,Full HD,Intel Core i5,4GB,1TB Fusion Drive,NVIDIA GeForce GTX 1650,macOS,2.930226679978553,41623.57766143548
Apple,UltraBook,12.140046588315375,2K,Intel Core i7,8GB,4TB HDD,NVIDIA GeForce GTX 1650,No OS,3.724434859232592,34169.16620547131
Acer,WorkStation,16.18315761317629,2K,AMD Ryzen 7,16GB,512GB SSD,AMD Radeon RX 5600M,No OS,4.084978904630399,67996.98486090031
Chuwi,Gaming,12.919934728739609,2K,Intel Core i9,16GB,2TB NVMe SSD,NVIDIA GeForce GTX 1650,Windows 10,2.26136023498859,41011.30407120219
Apple,Business Laptop,11.14289640561816,4K,Intel Core i7,8GB,256GB Flash Storage,Intel Iris Xe Graphics,No OS,2.8045765663955935,47162.65145634062
